subject,body,to,date,opens,clicks,replies
"Quick question about your nursing program","Hi Sarah,

Noticed your hospital recently expanded the CNA program by 30% according to your press release last month.

Wondering if you're seeing any challenges with career progression for your CNAs?

Mercy Health was able to increase CNA retention by 45% through our RN pathway program that allows them to advance while working.

Would you be open to a brief call next week?

Best,
Jack",sarah@hospital.com,2024-11-15,1,1,1
"Partnership opportunity","Hi John,

I wanted to reach out about a potential partnership between our organizations.

We specialize in workforce education benefits and have worked with over 200 healthcare organizations.

Would you be interested in learning more?

Thanks,
Jack",john@healthsystem.com,2024-11-16,1,0,0
"Free demo of our platform","Hi Maria,

Quick note - we're offering free demos of our education benefits platform this month.

Interested in seeing it?

-Jack",maria@clinic.org,2024-11-17,0,0,0
"Following up","Hi David,

Just following up on my previous email about our RN pathway program.

Let me know if you'd like to connect.

Jack",david@hospital.net,2024-11-18,1,0,0
"Impressed by your retention results","Hi Jennifer,

Came across your recent article about reducing turnover in the radiology department - really impressive 25% improvement!

Curious if you're looking at similar strategies for your nursing staff?

Banner Health saw a 60% reduction in nursing turnover after implementing our clinical career ladder program.

Would you be interested in exploring how this could work at your facility?

Best regards,
Jack",jennifer@medcenter.com,2024-11-19,2,1,1
"Quick question","Hi Michael,

Do you handle employee benefits at your facility?

Jack",michael@healthcorp.com,2024-11-20,0,0,0
"Your recent expansion","Hi Lisa,

Saw that you just opened a new wing at Memorial Hospital - congratulations!

I imagine you're hiring quite a bit of clinical staff right now?

St. Luke's was able to fill 40% more positions by offering education benefits during their expansion last year.

Open to a quick conversation about how this could support your hiring goals?

Thanks,
Jack",lisa@memorial.org,2024-11-21,1,1,0
"Collaboration opportunity","Hi Robert,

I think there could be a great opportunity for our organizations to work together on workforce development.

We help healthcare systems retain and upskill their clinical staff.

Interested in learning more?

Jack",robert@care.com,2024-11-22,1,0,0
"New program for healthcare workers","Hi Amanda,

We just launched a new program specifically designed for healthcare organizations.

It helps CNAs advance to RN while continuing to work full-time.

Would love to share more details if you're interested.

Best,
Jack",amanda@health.edu,2024-11-23,1,0,0
"Addressing turnover challenges","Hi Chris,

Noticed your recent LinkedIn post about nursing turnover being a top concern for 2024.

Are you exploring any specific retention strategies right now?

Ohio Health reduced their first-year RN turnover from 28% to 12% using our career pathway model.

Would you be open to learning how they did it?

Regards,
Jack",chris@system.org,2024-11-24,2,2,1
"Let's connect","Hi Emily,

Reaching out to connect about workforce education benefits for your clinical staff.

Let me know if you'd like to chat.

Jack",emily@regional.com,2024-11-25,0,0,0
"Your training initiatives","Hi Daniel,

Read about your innovative approach to LPN training in the Healthcare Leader magazine.

Wondering if you've considered extending similar pathways for your CNAs to become RNs?

Mayo Clinic achieved a 3:1 ROI on their CNA-to-RN pathway program within 18 months.

Would you be interested in discussing how this could complement your current initiatives?

Best,
Jack",daniel@mayo.edu,2024-11-26,1,1,1
"Employee education benefits","Hi Rachel,

We help hospitals provide education benefits to their staff.

Interested in learning more about how this works?

Thanks,
Jack",rachel@hospital.com,2024-11-27,1,0,0
"Workforce development solution","Hi Kevin,

I wanted to introduce you to our workforce development platform for healthcare organizations.

We've helped over 200 hospitals improve retention and career advancement.

Open to a demo?

Jack",kevin@medical.org,2024-11-28,0,0,0
"Your staffing challenges","Hi Michelle,

Saw the news about your facility facing staffing shortages in the ER department.

I imagine this is putting a lot of pressure on your current staff?

Scripps Health was able to reduce agency staffing costs by 55% by investing in career pathways for existing employees.

Would you be open to exploring how this could work for your organization?

Best regards,
Jack",michelle@emergency.com,2024-11-29,2,1,0
"Quick intro","Hi Brian,

Quick intro - we help healthcare systems with workforce education.

Let me know if you'd like to learn more.

Jack",brian@care.net,2024-11-30,1,0,0
"Reducing agency costs","Hi Nancy,

Quick question - are you currently using agency nurses to fill gaps?

Jack",nancy@staffing.org,2024-12-01,0,0,0
"Career advancement program","Hi Paul,

We offer a career advancement program for healthcare workers that allows them to upskill while working.

Interested in hearing more?

Thanks,
Jack",paul@hospital.edu,2024-12-02,1,1,0
"Your workforce strategy","Hi Karen,

Noticed you recently posted about workforce planning being a strategic priority for 2025.

Are you considering any specific programs to support clinical career development?

UC Health implemented our platform and saw 40% more internal promotions within their first year.

Would you be interested in a quick call to discuss your workforce strategy?

Best,
Jack",karen@strategy.com,2024-12-03,2,1,1
"Partnership proposal","Hi Steven,

I'd love to discuss a potential partnership around employee education benefits.

We work exclusively with healthcare organizations.

Open to connecting?

Jack",steven@partner.org,2024-12-04,1,0,0
